Company,Product categories,Company description,Page_URL
CroMag Corp.,SHOT -  Law Enforcement Products/ServicesSHOT -  Magazines/CartridgesSHOT -  International Exhibitors,"At CroMag Corp we increase the survivability and lethality of civilian firearms owners, LEOs, and military personnel by engineering solutions to get you back in the fight. Our focus is on collapsible, multifunctional, and durable speedloaders built for the modern warfighter.

Through our network of 100+ retailers and distributors across North America, our goal is to revolutionize ammunition storage and utilization by improving antiquated processes such as ammunition trays and hand loading.

Visit our booth to try the MagRipper® for yourself and compete for a chance to win some exciting prizes! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3987
Crosman,SHOT -  Airgun/Airsoft ProductsSHOT -  Scopes/Sights/Telescopes/Accessories,"Since 2018, Velocity Outdoor has developed a roster of industry leading outdoor brands, opening avenues of strategic collaboration, technology-sharing, and market insight. Together, these internationally-recognized, field-dominating brands have consistently continued to expand their presence, in spite of the marketplace volatility. As a holding company, Velocity Outdoor provides strategic expertise, business management, and financial consulting services to brands including Ravin and CenterPoint, Crosman and Benjamin, Game Face and LaserMax (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1546
CrossBreed Holsters,SHOT -  HolstersSHOT -  FirearmsSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Bags/Packs & Equipment,"CrossBreed Holsters is the industry leader in concealed carry products. CrossBreed Holsters offers handcrafted concealment holsters, magazine carriers and alternative carry holsters, as well as high-quality belts from dress to instruction. All our fine, handcrafted products are backed with the industry’s best customer service and support. CrossBreed Holsters believes in putting the customer first, ensuring that every customer is a customer for life. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=337
Crosscountry Mortgage,Supplier -  Plastics,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2270
Crossfire,SHOT -  FirearmsSHOT -  Custom ManufacturingSHOT -  Wholesaler/DistributorSHOT -  Training and Safety EquipmentSHOT -  Law Enforcement Products/ServicesSHOT -  Camping,"We are a firearm manufacturer, specializing in unique and never before seen firearms. Our flag ship firearm is the Tac-Bat .22, brand new to the market and released for the first time at Shot Show 2024. The Tac-Bat .22 is based on our ""Tac-Bat Tire Thumper, Fish Wacker"". This is a 11.5"" steel bat, capable of firing a .22 caliber LR.This is a one-of-a-kind Modern Engineering Marvel. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3899
Crye Precision LLC,"SHOT -  Apparel, Men'sSHOT -  Hearing Protection",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=339
Cryptic Coatings,SHOT -  Firearm Barrels/Parts/Gunsmithing,"Cryptic Coatings specializes in coated bolt carrier groups. Our PVD and CVD coatings are developed to provide reduced friction, lower operating temperatures, increased overall performance, BCG life, and easier cleaning. We also carry all the necessary replacement parts for both AR 15 and AR 10 platforms. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3252
Crystallume PVD,Supplier -  ToolsSupplier -  Services,"Crystallume PVD specializes in PVD and DLC coatings for functional applications. Our coating expertise covers the range of materials from aluminum, steel, stainless steel to tungsten carbide and all firearms applications. The coatings we offer are listed below: DLC (Diamond like carbon) TiN (Titanium Nitride) and Many other PVD coatings. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2108
CS-Tech,Supplier -  Metals,"As an international leader of CLAD METAL manufacturing process for several decades, we would like to suggest you superb raw material for Ammunition. It is substitute of Brass(CuZn30) and Tombac(CuZn10). We can ensure its superb quality, functions and competitive price. We are proud to be South Korean company, our technologies are spread to a lot of countries and we are supplying it to representive companies of country. Check possibilty & Use it for many advantages. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3490
CSK Zipper & Webbing,,"CSK is Korea’s largest zipper and webbing manufacturing company, and one of 5 largest zipper and webbing manufacturers in the world. The firm was founded in 1978, and has its headquarters in Seoul, S. Korea. In 2002, the company expanded to Vietnam, by founding Chunshin Precision Vina, and CSK USA was established in Irvine, USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3800
CSS (Connecticut Spring & Stamping),SHOT -  Custom ManufacturingSHOT -  Firearm Barrels/Parts/GunsmithingSupplier -  MachinerySupplier -  Stamping,"CSS (Connecticut Spring & Stamping) manufactures precision progressive dies, springs, and fine-blanked stampings, specializing in tight tolerance components for firearms and weapon systems. We make and stock parts for AR and AK platforms with the ability to innovate and adapt to constantly changing industry needs. The industry relies on ISO 9001 certified CSS for precision custom springs, including shaped and stranded wire. Our products include magazine assemblies, slide stops, trigger bars, ejectors, struts, recoil springs, and magazine, compression, extension, and torsion springs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=342
CSS (Connecticut Spring & Stamping) Corp.,Supplier -  StampingSupplier -  Tools,"CSS (Connecticut Spring & Stamping) manufacturers precision progressive dies, springs and fine-blanked stampings,specializing in tight tolerance components for firearms and weapon systems. We make and stock parts for the AR & AK platforms, as well. The industry also relies on CSS for precision custom springs, including shaped and stranded wire. CSS is ISO 9001 certified with 450 employees and 230,000 sq.ft of manufacturing space. products include magazine assemblies; slide stops; trigger bars;ejectors;struts;recoil springs, magazine springs and compression, extenstion and torsion springs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1832
Cumberland Creative,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3966
Current Composites,"Supplier - Packaging
SHOT - Firearm Cabinets/Racks/Safes
Supplier - Fabrication
SHOT - Crossbows & Accessories
SHOT","American made laminated material since 1962 for the Industry in general and the goverment projects in the military. Over 20 years serving the knife handle and pistol grip industry. Always first in creating and developing new products in conjuction with our loyal costumers. More than 100 new combinations using diffrent types of G-10/glass fabric, as well cotton fabric, paper substrate, Keblar and Carbon Fiber. We laminate any material in your mind. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1833
Curtis Products LLC,Supplier -  Machinery,"Machined parts thru assemblies complete to your print since 1950.Firearms parts a specialty as well as inserts,escutcheons,valve components,and other industries with ROHS compliant material knowledge.ISO 9001-2015.Specializing in mid to high volume screw machine work.Can provide prototype to mass production with ""Just In Time"" agreements available. You concentrate on your business: we will supply your parts worry free. As one customer stated: ""Quality is Excellent; Delivery is Fantastic; When i do reach out i get a response and don't chase people; flexible to work with;-NO ISSUES WITH CURTIS"" (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2146
Custom & Collectable Firearms,SHOT -  Firearms,"We produce limited edition firearms with popular, well-known brands & models. We take guns and do things such as high polishing, gold plating, scrolling, custom grips, quotes & more. All of our guns are either 1 of 100 or 1 of 200 and come with a hand signed certificate of authenticiy & a 1 of 100 challenge coin. THe guns are highly collectible & we only do asthetic work, so the guns still have the factory warranty. We focus on the 1911 & revolver platforms & work with brands such as Colt, Kimber, S&W, Henry, Springfield etc...  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3727
Custom Etch Inc.,Supplier -  ToolsSupplier -  PlasticsSupplier -  MetalsSupplier -  MachiningSupplier -  Stamping,"Custom Etch has over 11 Years of Laser experience in 5 Axis operations and the largest laser texture supplier in North America with 8 machines (currently). Custom Etch services all market segments from Aerospace, Automotive, Consumer Products, Packaging, Medical, and Firearms & Defense. We specialize in Texturing services (Laser or Chemical Etching) and offer other services that include: Engraving, Marking, Anti-Counterfeiting, UDI Marking, Digital Watermarks, Electrode Manufacturing, Laser Micromachining, and Additive Manufacturing. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2374
Custom Glass Solutions-Transparent Armor,Supplier -  OE materialsSupplier -  FabricationSupplier -  Finishing,"Custom Glass Solutions, LLC (CGS) is North America’s leading producer of transparent armor for the law enforcement sector. In addition to transparent armor, CGS also manufactures laminated and tempered glass systems for OEMs and the aftermarket. CGS offers a broad range of capabilities and the most diverse selection of glass products for many different transportation and industry segments. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3946
Custom Metal Crafters Inc.,Supplier -  MachiningSupplier -  SoftwareSupplier -  FabricationSupplier -  Metal extrusions,"Manufacturer of metal fasteners and general hardware. Are you looking for USA-made, quality fasteners and hardware? Or are you in need of a custom fabricated part? Custom Metal Crafters has over 50 years experience specializing in the design, manufacture and sourcing of buckles, snaps, slides, d-rings, loops, fasteners, ornaments, Chicago screws and general hardware. All products are available in a variety of finishes. Most items are made in the USA and are Berry Amendment compliant. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1834
Custom-Pak,,"Custom-Pak is one of the world's largest industrial blow molded parts manufacturers and a leading provider of advanced blow molding technology. Custom-Pak designs and builds energy efficient blow molding machines and sophisticated blow molds. We produce a wide array of blow-molded products in six manufacturing plants. Our plants are modern, clean and non-polluting. We offer responsible, world class services and unbeatable value. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1836
CustomFab USA,Supplier -  FabricationSupplier -  ServicesSupplier -  Fabrics,"Industrial sewing contractor specializing in Berry Amendment compliant soft-goods manufacturing. With 30 years of experience, CustomFab USA's quality and dependability are unmatched in the industry. We have 100,000 sq ft of domestic manufacturing space dedicated to making the best gear possible. By utilizing all of the latest manufacturing techniques and technologies, we give our customers the tools they need to stay on the forefront of product design. Visit us to discuss how CustomFab USA can provide the solutions you need to domestic soft goods manufacturing. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1835
Cutting Edge Bullets,SHOT -  AmmunitionSHOT -  Reloading,"At Cutting Edge Bullets, we have engineered projectiles that perform as well in the field as they do on the range. All of our bullet lines are turned out of solid copper and brass on a CNC Swiss-style lathe, allowing us to hold tight tolerances for superior accuracy. These features in addition to our patented Sealtite™ band are the reasons we are the #1 winningest Extreme Long Range match bullet on the market. Our unique fracturing design also allows us to make the most trauma inducing bullets and ammunition on the market perfect for hunting and personal defense. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=344
Cutting Edge Machining & Automation,Supplier -  Machinery,"Cutting Edge Machining Solutions specializes in CNC Swiss-style machining. These machines allow us to hold the tight tolerances required for a variety of precision parts in the firearms and outdoors industry. We can machine parts out of virtually any material that can be obtained in ""rod"" of ""hex"" form. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2256
CVA,SHOT -  Black Powder/Smokeless PowderSHOT -  Firearms,"CVA's 50 years of experience has provided the best value guns and accessories to our customers. Today, the product line has expanded to include bolt-action centerfire rifles in addition to the most technically advanced modern in-line muzzleloaders on the market. Our continuous innovation has led to CVA being America’s #1 selling muzzleloader brand for over a decade. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2740
CVLIFE,SHOT -  Bags/Packs & EquipmentSHOT -  Binoculars/TelescopesSHOT -  Firearms Maintenance/Cleaning EquipmentSHOT -  Cutlery/Sharpeners/Knives/AccessoriesSHOT -  Hunting Gear/AccessoriesSHOT -  Retailer Services,"CVLIFE offers high-quality outdoor sports and hunting gear at competitive prices, making hunting and shooting activities accessible to everyone. We provide scopes, red dot sights, gun slings, bipods, backpacks, and accessories for hunters and shooting enthusiasts. Our team is dedicated to providing top-notch customer service and expertise. We believe in offering affordable products without compromising performance or reliability. CVLIFE is committed to providing a superior experience from start to finish. Join us and start exploring the great outdoors today. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3464
CYA Supply Co.,SHOT -  Holsters,CYA Supply Co. is a veteran-and family-owned holster manufacturer out of Texas. Our investments in process improvement have allowed us to produce our products in the USA with great margins and minimal lead time for you. Our holsters are continuously improved to ensure low return rates and high value to your customers. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=347
Cybergun,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3975
Cyberknit TrapMax,Supplier -  Fabrics,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2906
Cytac Technology Limited,Supplier -  Packaging,"Founded in 2008 in the city of Shenzhen, Cytac Technology Limited is focused on exploring and developing the international police and tactical products market. We provide a range of products for civilian and police use, including polymer and nylon holsters, duty belts, drop leg platforms, gun locks, cleaning kits, gun cases, and more. Cytac establishes long-term strategic cooperation with top firearm brands. Cytac equipped competitors with Cytac products in world-class shooting sports. As of now, more than 150+ Cytac products are patented, with no accidents. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2320
CZ Custom,SHOT -  FirearmsSHOT -  Custom ManufacturingSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Wholesaler/Distributor,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=348
CZ-USA,SHOT -  Firearm Grips/Stocks,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=349
"D. B. Webb, Inc.",Supplier -  MachiningSupplier -  FabricationSupplier -  OE materialsSupplier -  PlasticsSHOT -  Custom ManufacturingSHOT -  Wholesaler/Distributor,"D. B. Webb, Inc. is a family owened business that specializes in custom manufactuiring. We have state of the art CNC equioment to be able to process wood, composit, and metal parts for many industries. We specalize in knife handles and pistol grips.Our mission is to provide our customers quality components in a timely manner. Our strengths are rapid response and flexibility. We can provide engineering, scanning, and product development services and can accept customer drawings in almost any format. D. B. Webb, Inc. is also the sole distributor for WebbWood™ in North America. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1837
D.M.A. inc,SHOT -  Firearm Grips/StocksSHOT -  Hunting Gear/AccessoriesSHOT -  Treestands,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=351
D&D Enterprises,Supplier -  MachiningSupplier -  Plastics,"We specialize in 5-Axis, Horizontal Machining, Vertical Machining, Mill Turning, Swiss Turning, Assembly and Kitting. Established and Family owned since 1976, we have over four decades and three generations of knowledge and experience that give us a unique advantage in providing simple or specialized products. We provide value and innovation by focusing on continuous improvement and streamlined processes. Proven quality and competitively priced products that are proudly made in the U.S.A. Serving multiple markets including: Aerospace, Aerospace Seating, Defense, and Marine. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3670
"D&H Industries, Tactical Division",SHOT -  International ExhibitorsSHOT -  Communications/Electronics/GPSSHOT -  Hearing ProtectionSupplier -  SoftwareSupplier -  Fabrication,"D&H Tactical / division of D&H Industries is a proud supporter of the 2nd Amendment; We offer a full suite of rifle and pistol magazines and other products; Rifle Magazines include 5.56;.300Blackout; 7.62x39; .308; 7.62x51; 6.5Creedmoor; 6.5Grendel; 6.8SPC; 9x39; and others. In addition we have a 1911-.45ACP and a few others in development D&H Industries is a $30M metal stamper and fabricator with mechanical and hydraulic presses up to 2,000Tons; Progressive, Hand Transfer; and Deep Draw. In addition; we have 6kw laser; Press Brake; and robotic MIG Welding capabilities. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=350
D&M Ammunition Manufacturing Solutions,"SHOT - Ammunition
SHOT","D&M Ammunition Manufacturing Solutions is the global leader in complete turnkey ammunition and primer manufacturing solutions. Headquartered in Tampa, FL with state-of-the-art facilities in Cabot and Des Arc, AR, D&M has successfully designed, built, and managed some of the most advanced ammunition and energetics factories around the globe, for both private and government entities. D&M’s newest subsidiary, White River Energetics (WRE), manufactures and distributes primers for small caliber ammunition. D&M and WRE equipment are USA made. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3137
D5 Ranges,SHOT -  Shooting Range Equipment,"D5 has been manufacturing gun-ranges and bullet containment solutions for 30+ years. Today, D5 engineers, manufactures, delivers and installs the complete range. We manufacture and install both indoor and outdoor gun ranges of all sizes and configurations. We specialize in unique range applications, and have many solutions for both noise control and ballistic containment. At D5, we believe that ranges are both similar and unique. Using a mix of products that address safety and health concerns, giving our customers a range, we can stand behind. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=352
DAC Technologies,SHOT -  Firearm LocksSHOT -  Firearms Maintenance/Cleaning EquipmentSHOT -  Gunsmith Tools,"We are a leader in innovative, best-selling safety, firearm maintenance and cleaning equipment for dealers, retailers and firearm manufacturers. For 2019, DAC is introducing new products under the Gun Master and Winchester gun cleaning line. These new products include cleaning kits as well as cleaning tools. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=353
Dakota Alert,SHOT -  Game CallsSHOT -  Camping,"Dakota Alert is a leading manufacturer in the home electronics industry. We have a line of wireless trail monitors that can be used by hunters to be notified if a game animal is approaching a stand location. With a wireless range of a mile it is perfect to get advance notice that a deer is approaching. Dakota Alert also has wireless alarms for homes, driveways, backyards as well as MURS band walkie-talkies. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=354
Damara African Safaris,SHOT,"Damara African Safaris is a hunting Safari destination in Central South Africa in the Northen Cape Province. Except for plains Game hunting we also cater for long range hunting where the hunter with special skills can hunt up to 1000Yrds and earn a spot in our record books. We offer great accommodation to provide a home away from home with breathtaking views and sunsets. We are well known for our cuisine and exeptionaly good food. Our well trained staff, profesional hunters and trackers will ensure a safari of a lifetime. Here is where our clients arrive as friends and leave as family.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3616
Dan Wesson,,"Quality is the word that defines us here at Dan Wesson, and we have the history to prove it. Made in America with ingenuity, character, and creativity; Dan Wesson firearms are forged from the very grit, sweat, and hard work that shaped and defined the American frontier. From the early days of world class revolvers, to the present standard for 1911s, Dan Wesson combines the new frontier of firearms technology with the heritage of American craftsmanship

  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3911
Daniel Defense LLC,"SHOT - Firearms
SHOT - Firearm Barrels/Parts/Gunsmithing
SHOT - Firearm Grips/Stocks
SHOT","Daniel Defense is a family-owned and privately held firearms manufacturer located in Black Creek, Georgia. Founded in 2001 by Executive Chairman Marty Daniel, the company started from Marty’s vision to create custom rifle accessories for his personal M16 rifle. Seventeen years later, Marty Daniel’s concept has evolved into one of the most recognizable brands in the firearms world. Today, with a combined 300,000 sq.ft. of manufacturing space, Daniel Defense has maintained a commitment to quality and continuous improvement. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=355
Danmar Products,SHOT -  Survival Kits/First AidSHOT -  Law Enforcement Products/Services,"Danmar Products Inc was founded on equipping individuals with special needs. We now supply law enforcement, jails, and prisons with handcuff guards, safety helmets, room padding, bullet proof material, flotation devises and many other products designed for officer safety and prisoner/detainee safety. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3259
"Dara Holsters & Gear, Inc",SHOT -  HolstersSHOT -  Law Enforcement Products/Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2282
Dark Energy,SHOT -  Law Enforcement Products/ServicesSHOT -  CampingSHOT -  Communications/Electronics/GPSSHOT -  Hunting Gear/Accessories,"Dark Energy makes nearly indestructible power products for outdoor, military, and tactical use. Built in the rocky mountains by passionate outdoorsmen who required power products that would survive the rugged lifestyles and harsh conditions of the backcountry. Dark Energy was founded upon the ideal that durability and strength should be a standard, not a rarity. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=357
Dark Storm Industries,SHOT -  FirearmsSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Law Enforcement Products/Services,"Purchase 9 Dark Storm Industries DS-15s and get 1 FREE!*If 5 or more of the guns you are buying consist of MOE or M4s models, your free 10th gun will be limited to a MOE, M4s or Typhoon model*If 5 or more of the guns you are buying consist of Typhoon, Lightning or Variant 1 models your free 10th gun can be any model. *MFRs excluded from this promoBuy 10 MFRs and get a FREE Variant1!*MFRs are being sold in blocks of 5 consisting of 3 black, one FDE and one ODG. 2 Blocks equal a Free Variant 1 (a $2095 value) (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=358
Darmok Designs,Supplier -  MachiningSupplier -  ServicesSupplier -  Fabrication,"We offer engineering automation, complex trouble-shooting in existing designs, and turn-key solutions that are ready to implement. We have our own manufacturing arm and can both create a custom product and provide fulfillment. We specialize in small milled-metal components like extractors, gas blocks, main spring housings and many other essential items. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3624
Darn Tough Vermont,"SHOT -  FirearmsSHOT -  Hearing ProtectionSHOT -  Apparel, Women'sSHOT -  Apparel, Men's","Darn Tough Vermont is First on Foot! We offer the largest collection of premium, all-weather performance socks in the industry. Darn Tough socks are knit with fine-gauge merino wool that is moisture-wicking, quick drying, and odor resistant. Whatever your uniform requirement, whatever your mission, we have plenty of tactical styles to choose from. Other style categories include hunt, work, hike, ski, lifestyle, run; and athletic. Ultra-comfortable, ultra-durable, Guaranteed for Life; and still made in Vermont, USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=359
DASCO Storage Solutions,SHOT -  Firearm Cabinets/Racks/SafesSHOT -  Firearm CasesSHOT -  Firearm Locks,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3637
Data Age Business Systems,SHOT -  Recoil Protection Devices/ServicesSHOT -  Communications/Electronics/GPSSHOT -  Media/Publication,"Data Age Business Systems is a 35+ year developer of point-of-sale software solutions for the pawn, buy/sell/trade, and firearm industries. Our software platforms include PawnMaster, the most trusted software in the pawn industry, and Buy/Sell Plus, a robust and versatile POS platform. Both solutions are available in on-premises or cloud versions and offer compliance in all 50 states and several countries. Data Age supports its software with an in-house support team based in Clearwater, Florida, and is constantly evolving with new ways for our customers to generate increased revenue. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3456
Datanomix,Supplier -  Services,"Datanomix provides automated production monitoring software to growth-minded precision manufacturers who want real-time and historical insights into their production performance—without requiring any operator input. Powered by advanced machine learning, the software delivers real-time actionable insights viewable across TV screens, smartphones, and computers so customers can quickly intervene on issues impacting their revenue and profit goals.

Contact us at +1-866-488-4369, sales@datanomix.io, datanomix.io
  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2381
Davidson's,SHOT -  FirearmsSHOT -  Wholesaler/DistributorSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  AmmunitionSHOT -  Cutlery/Sharpeners/Knives/AccessoriesSHOT -  Magazines/Cartridges,"Established in 1932, Davidson’s has evolved into a prominent wholesaler in the American shooting sports industry. Operating from distribution centers in Prescott, AZ, and Greensboro, NC, we efficiently serve dealers nationwide. We take pride in distributing premier shooting sports brands, including Ruger, Smith & Wesson, Glock, Taurus, Springfield, Savage, Henry, Leupold, and more, totaling over 150 renowned names. Our unique services, such as the GuaranteeD Lifetime Replacement Program and the consumer website www.galleryofguns.com, are dedicated to promoting the businesses of our dealers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=362
DayGlo Color Corp.,Supplier -  FabricationSupplier -  OE materialsSupplier -  Packaging,"Day-Glo Color Corp. is the world’s largest manufacturer of daylight fluorescent pigments. We develop technologies that improve and enhance any color, from subtle specialty effects, to glow-in-the-dark pigments, to our classic range of fluorescents. DayGlo fluorescent pigments and paints are used across the firearms industry to illuminate and provide unrivaled visibility to clay pigeons, targets (target coatings), munitions, ammunition marking, sites indicators, and various other applications. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3323
Dayton Lamina,"Supplier - Stamping
Supplier - Machining
Supplier","DAYTON LAMINA™ is the world-wide industry leader in the production of catalog and special punches, die components, die details, punch blanks and metalstamping tools. Our full line of tooling includes everything in your bill of materials, punches, die buttons, pins & bushings, wear and guide components, die springs, cams, die details, punch retainers and more. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1838
Dayton Rogers Manufacturing Co.,Supplier -  StampingSupplier -  FabricationSupplier -  Machinery,"Dayton Rogers Manufacturing Co. has 95 years of experience in supplying all your metalforming and metal stamping needs. With four locations to serve you, Dayton Rogers is your industry leader in the defense and firearm industry. Our services include: stamping: progressive, modular, deep draw • fabrication laser, turret, brake press • welding robotic, arc, mig, tig, spot • CNC machining • assemblies. We also offer secondary services to create solutions integral for your success. Certifications: ISO 9001:2015, AS 9100:2016, ITAR, MIL-I-4520. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1839
"Dayton T. Brown, Inc.",Supplier -  Services,"Established in 1950, Dayton T. Brown, Inc. is an A2LA accredited independent ballistics testing laboratory for testing small firearms, ammunition, and transparent armor. Supporting MIL Standard and TOP 3-2-045 specifications, we have a 100-meter indoor shooting range to support ammunition and component testing, Our test equipment meets SAAMI specifications and we offer environmental and dynamic testing including NDT inspections, dimensional and metallurgical testing, product improvement, and engineering evaluations.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1840
DC Machine,Supplier -  MachiningSupplier -  Fabrication,"We are the one-stop shop for all your AR15 and AK47 wholesale needs. ISO 9001 Certified manufacturing center. Very well known for gun barrels and barrel accessories. Over 3.5 million gun barrels in the field with a wide variety of contours, chambers, lengths and materials. Specialize in AR and AK barrels and custom orders. Manufacture our own barrel extensions as well as barrels 100% in house. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1841
DDT,SHOT -  Bags/Packs & EquipmentSHOT -  Firearm CasesSHOT -  Hunting Gear/AccessoriesSHOT -  Law Enforcement Products/Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=364
DDupleks USA,SHOT -  Ammunition,"We are an experienced team of professionals in ammunition; we create new designs and technology concepts and develop them from an idea up to a patented and implemented result - innovative-high quality ammunition suitable for hunting, military and law enforcement needs. Our ammunition designs are based on unique manufacturing technologies and specific a material – steel. DDupleks ammunition is approved by customers and distributed through a growing sales network in more than 40 countries around the world. Product names: BroadHead, SteelHead, Kaviar Slug. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=365
